signal_id,ticker,ts,station,valid_date,lead_day,lower_f,upper_f,yes_won,original_p_yes,shadow_p_yes,original_brier,shadow_brier,shadow_mean_f,shadow_sigma_f,weights,shadow_action,shadow_side,shadow_pnl
43105,KXHIGHCHI-26MAY12-B75.5,2026-05-12 23:56:35.348572+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.34688164361170337,0.08024949930327319,0.12032687467475679,0.0064399821384260435,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-17.570000000000014
43104,KXHIGHCHI-26MAY12-B79.5,2026-05-12 23:56:34.804366+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.11805405665986021,0.058545692771101554,0.013936760293849486,0.0034275981420482126,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.09000000000001
43103,KXHIGHCHI-26MAY12-T80,2026-05-12 23:56:34.231863+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126900703,0.14913348625575995,0.011505851292249817,0.02224079672279694,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
43102,KXHIGHCHI-26MAY12-T73,2026-05-12 23:56:33.691029+00:00,KMDW,2026-05-12,0,,73.0,0,0.0694304417748067,0.5546942735401174,0.004820586245044824,0.3076857370981985,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
43101,KXHIGHCHI-26MAY12-B73.5,2026-05-12 23:56:33.174575+00:00,KMDW,2026-05-12,0,73.0,75.0,1,0.4727075759569597,0.08707318448877188,0.2780373004531855,0.8334353704794719,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,NO,-19.990000000000016
43100,KXHIGHCHI-26MAY12-B77.5,2026-05-12 23:56:32.632583+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.17068857831777917,0.07030386364097607,0.029134590768144633,0.004942633242848957,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.060000000000013
43068,KXHIGHCHI-26MAY12-B79.5,2026-05-12 23:51:11.435992+00:00,KMDW,2026-05-12,0,79.0,81.0,0,0.11805405665986854,0.058545692771101554,0.013936760293851451,0.0034275981420482126,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-12.09000000000001
43067,KXHIGHCHI-26MAY12-T80,2026-05-12 23:51:10.878872+00:00,KMDW,2026-05-12,0,81.0,,0,0.10726533126900659,0.14913348625575995,0.011505851292249722,0.02224079672279694,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-19.990000000000016
43066,KXHIGHCHI-26MAY12-B75.5,2026-05-12 23:51:10.305385+00:00,KMDW,2026-05-12,0,75.0,77.0,0,0.34688164361173346,0.08024949930327319,0.12032687467477766,0.0064399821384260435,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-17.570000000000014
43065,KXHIGHCHI-26MAY12-B77.5,2026-05-12 23:51:09.763667+00:00,KMDW,2026-05-12,0,77.0,79.0,0,0.17068857831775508,0.07030386364097607,0.02913459076813641,0.004942633242848957,71.78106347656254,8.86302419724989,"ECMWF:0.15,GFS:0.15,HRRR:0.40,NBM:0.30",OPEN,YES,-15.060000000000013
